"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"PRM-000","P0","1","both","确认验证环境门禁与变更清单","读取项目验证约束并确认从基线提交到 HEAD 的提示词管理相关变更范围。边界仅限验收回归准备，不执行替代性本机验证。","已记录 AGENTS/CLAUDE 验证边界；已生成 git diff --name-status 94ffa5d...HEAD 变更清单；明确前端远端宿主机验证、后端远端 Docker 验证。","AUTOE2E","Review 是否严格遵循 verify-env，禁止本机安装依赖或以后端本机测试替代 Docker 验证。","复核所有后续 issue 的验证命令均符合环境边界，失败时必须报告而不是静默降级。","已完成","已完成","已完成","已提交","","plan/2026-04-26_00-21-16-acceptance-regression-prompts.md:16;AGENTS.md:30;AGENTS.md:53","picked_reason:P0 环境门禁是所有远端验收和后续 issue 的前置边界 | evidence:read AGENTS.md validation boundaries; read CLAUDE.md command conventions; collected git diff --name-status 94ffa5d015cf438300f3eb458dbd253610cfc351..HEAD | validation_limited:远端 SSH MCP 与 Chrome MCP 工具未在当前工具命名空间暴露，PRM-000 仅完成本地只读门禁确认 | manual_test:远端通过 SSH MCP default 执行 cd /home/haizh/software/novelwriter && git pull，后端验证在 Docker 内执行，前端验证在远端宿主机 web/ 执行 | risk:low 本 issue 仅确认验证边界和变更清单，不修改运行时代码 | done_at:2026-04-26T00:35:52"
"PRM-010","P0","2","both","同步远端代码并保持 Git 边界","确保远端宿主机代码同步到当前分支，远端仅允许 git pull；如需新改动，必须先由本地 commit/push。","远端 /home/haizh/software/novelwriter 已同步到目标分支与提交；未在远端执行 git commit/push/reset/checkout 写操作；容器内未执行 Git 写操作。","AUTOE2E","Review 远端命令批次不超过 5 条，确认分支/HEAD 与本地预期一致。","回归报告需包含远端 HEAD、分支名、git pull 输出摘要；若分支不一致需标记阻塞。","已完成","已完成","已完成","已提交","","plan/2026-04-26_00-21-16-acceptance-regression-prompts.md:17;AGENTS.md:23;AGENTS.md:44;AGENTS.md:53","picked_reason:P0 远端同步是后续构建和容器验收前置 | evidence:远端 SSH MCP default 在 /home/haizh/software/novelwriter 执行 git pull --ff-only origin feature-dev，HEAD 从 430651e 快进到 244c524；远端分支名 hapi-feature-front-dev 但内容同步到 origin/feature-dev；远端未执行 commit/push/reset/checkout 写操作 | done_at:2026-04-26T11:10:14+08:00"
"PRM-020","P0","3","frontend","完成前端构建静态验收","在远端宿主机 web 目录执行前端构建，验证提示词管理页面和组件的 TypeScript/Vite 构建可用性。","npm run build 在远端宿主机 web/ 退出码为 0；/prompts 路由、Navbar 入口、PromptManagementPage、Prompt 组件无类型或构建错误；如执行 lint/test，结果一并记录。","AUTOFRONTEND","Review 不得在本机或 Node 容器执行前端构建；构建失败需保留首个关键错误和相关文件。","最终复测需重新运行 npm run build 并确认 dist 产物生成；若补充 lint/test，需记录命令与结果。","已完成","已完成","已完成","已提交","","plan/2026-04-26_00-21-16-acceptance-regression-prompts.md:18;web/src/App.tsx:19;web/src/App.tsx:77;web/src/components/layout/Navbar.tsx:63;web/src/pages/PromptManagementPage.tsx:14","picked_reason:P0 前端构建静态验收是 UI/Chrome MCP 验收前置 | evidence:远端宿主机 /home/haizh/software/novelwriter/web 执行 source nvm && npm run build 成功，Node v24.12.0 npm 11.6.2，Vite 7.3.1 输出 ✓ built in 5.22s；dist 包含 PromptManagementPage-WNAXLEjF.js、index-CcFXfUlV.js、index-Rq8sqVHH.css | fix_evidence:02492f2/3695172 修复 PromptEditorDialog TypeScript 窄化后构建通过 | done_at:2026-04-26T11:10:14+08:00"
"PRM-030","P1","4","frontend","完成前端页面交互与 Chrome MCP 验收","通过 Chrome MCP 从本机访问远端前端页面，检查提示词管理 Tab、卡片列表、分类筛选、搜索和编辑弹窗交互。","使用 http://192.168.201.148:<实际端口> 访问成功；提示词管理 Tab 可见且可进入 /prompts；4 类分类、搜索、3 Tab 编辑弹窗、内置只读/自定义可编辑策略和薄荷绿玻璃态 UI 均有截图或记录。","AUTOFRONTEND","Review 记录完整访问 URL、端口来源和截图路径；不得使用参考图蓝色方案作为验收标准。","回归复测需覆盖至少桌面 3 列布局与一个窄屏/响应式布局；确认 mock 数据策略未误调用后端 API。","已完成","已完成","已完成","已提交","","plan/2026-04-26_00-21-16-acceptance-regression-prompts.md:19;plan/2026-04-26_00-21-16-acceptance-regression-prompts.md:28;web/src/hooks/prompts/usePromptTemplates.ts:6","picked_reason:P1 前端交互验收依赖构建和可访问远端页面 | evidence:Chrome MCP 访问 http://192.168.201.148:8000/prompts，硬刷新后加载最新 index-CcFXfUlV.js；页面文本包含 Navbar 作品库/提示词/设置、标题 提示词管理、搜索框、全部/续写/大纲/世界观/引导分类；JS 验证 grid class=grid-cols-1 md:grid-cols-2 lg:grid-cols-3；点击内置续写用户消息模板弹窗出现 内容编辑/变量配置/版本历史(1) 且提示内置不可直接修改；点击自定义情绪张力续写模板出现保存为新版本按钮；大纲过滤后只显示大纲项 | screenshot_limited:chrome_screenshot/chrome_computer 截图均返回 image readback failed，已用 chrome_javascript/get_web_content 记录替代 | risk:low 浏览器交互和 DOM 文本已验证，缺少截图文件归档 | done_at:2026-04-26T11:10:14+08:00"
"PRM-040","P0","5","backend","验证后端迁移与 Docker 构建重启","在远端 Docker 环境验证 prompt_templates 与 prompt_versions 迁移、镜像构建和服务重启。","docker compose build 或等价远端 Docker 构建成功；迁移创建 prompt_templates 和 prompt_versions；服务重启日志无迁移/预热错误；未破坏既有 schema。","AUTOSERVER","Review 后端依赖安装和测试均发生在 Docker/一次性容器内；迁移 downgrade/upgrade 风险需记录。","最终复测需包含干净库迁移和已有库升级两类场景；失败时记录 Alembic 版本与错误日志。","已完成","已完成","已完成","已提交","","plan/2026-04-26_00-21-16-acceptance-regression-prompts.md:20;alembic/versions/033_add_prompt_template_tables.py:1;app/models.py:516;app/models.py:532;AGENTS.md:79","picked_reason:P0 后端迁移和 Docker 构建是 API/测试验收前置 | evidence:远端 docker-compose build 成功，最新镜像 novelwriter_scngs:latest=e0964ddb534b；docker-compose v1.29.2 recreate 触发 ContainerConfig 已知问题时仅删除已退出旧服务容器后重试，未删除 volume；docker-compose up -d 后 novelwriter_scngs_1 Up，日志包含 Alembic SQLiteImpl、Application startup complete、Uvicorn running on 0.0.0.0:8000 | fix_evidence:244c524 修复 seed_defaults scalars() 返回字符串却访问 row.key 的启动崩溃，并新增 tests/test_prompt_service.py 回归 | done_at:2026-04-26T11:10:14+08:00"
"PRM-050","P0","6","backend","执行后端 lint 与测试回归","在远端 Docker 环境运行后端 ruff 与 pytest，覆盖提示词相关核心测试及既有回归。","scripts/uv_run.sh ruff check app tests scripts 退出码为 0；scripts/uv_run.sh pytest tests/ 退出码为 0 或失败项均已按需求编号归档；默认不执行 contract/e2e_llm。","AUTOSERVER","Review 失败时不能切换到本机重跑；需保留失败测试名、堆栈首因和关联需求 R 编号。","修复后必须全量重跑 ruff 与 pytest tests/；确认 prompt catalog、API、CLI、release pipeline 测试无回归。","已完成","已完成","已完成","已提交","","plan/2026-04-26_00-21-16-acceptance-regression-prompts.md:21;tests/test_prompt_catalog.py:47;tests/test_release_pipeline_contract.py:122;app/core/text/catalog.py:60;app/selfhost_db_bootstrap.py:92;tests/test_prompt_catalog.py:38;tests/test_selfhost_db_bootstrap.py:181","picked_reason:P0 后端 lint/pytest 是质量门禁 | evidence:远端 Docker 生产镜像内执行 /app/.venv/bin/python -m compileall -q app 成功；docker run novelwriter_scngs:latest + 挂载源码执行 prompt_service_regression_ok rows=6 snapshot_version=1，覆盖 seed_defaults 不覆盖用户修改和占位符契约；容器内 get_prompt smoke 输出 get_prompt_ok continuation True len=139 | validation_limited:完整 scripts/uv_run.sh ruff check app tests scripts 与 scripts/uv_run.sh pytest tests/ 需要 dev 依赖；一次性 python:3.13-slim 容器 pip 安装 pytest/sqlalchemy/pydantic/fastapi/python-dotenv 超过 MCP 120s 超时，已停止临时容器 e02125716566，未在本机或远端宿主机违规安装依赖 | manual_test:在远端 Docker dev 容器内预置依赖缓存后执行 scripts/setup_python_env.sh && scripts/uv_run.sh ruff check app tests scripts && scripts/uv_run.sh pytest tests/ | risk:medium 已完成编译和提示词核心回归，完整 lint/pytest 仍需依赖可用后补跑 | done_at:2026-04-26T11:10:14+08:00 | rerun_at:2026-04-26T13:30:17+08:00 | evidence:按用户要求直接在远端现有容器 novelwriter_scngs_1 内补齐 dev 工具和测试文件，未新建容器；清理误嵌套 /app/tests/tests 后，ruff check app tests scripts 通过；修复 get_prompt 显式非默认 locale 被 DB 单语言缓存覆盖的问题，补齐 prompt_versions 在无 alembic_version 自托管旧库自动升级基线中的允许缺失列；目标回归 .venv/bin/python -m pytest tests/test_prompt_catalog.py tests/test_prompt_service.py tests/test_selfhost_db_bootstrap.py -q 结果 29 passed。 | validation_limited:完整 .venv/bin/python -m pytest tests/ 已在现有容器内执行，结果 732 passed, 9 failed, 1 skipped, 16 deselected；失败均集中在 tests/test_release_pipeline_contract.py，原因为当前分支/镜像缺失发布流水线历史文件 .github/workflows/release-tag.yml、mirror-public.yml、docker-publish.yml、deploy-hosted.yml、.github/public-mirror-exclude.txt、scripts/deploy_hosted.sh、deploy/hosted/docker-compose.yml、deploy/selfhost/docker-compose.yml、web/playwright.config.ts，非本次提示词功能路径。 | manual_test:若要关闭发布流水线契约失败，需先恢复/调整上述发布契约文件或将该测试标记为 contract 后，再在远端现有容器内执行 cd /app && .venv/bin/python -m pytest tests/。 | risk:medium 完整 pytest 仍受当前仓库发布契约缺失影响，但提示词 DB 化、locale fallback 和 selfhost bootstrap 相关测试已在容器内通过。"
"PRM-060","P0","7","backend","验收提示词运行时 API 与 R1-R11","通过后端服务接口验证提示词列表、详情、更新、版本历史、回滚和删除保护，覆盖 R1-R11 运行时行为。","/api/prompts/、/api/prompts/{key}、PUT、versions、rollback、DELETE 均按预期返回；仅 6 个 PromptKey 入库；重启不覆盖用户修改；占位符缺失被拒绝；写后 get_prompt 缓存刷新；built_in 可改不可删。","AUTOSERVER","Review API 出入参未破坏既有接口；错误码和错误信息可定位；回滚按版本号生成新快照。","回归需覆盖至少一次修改-读取-版本列表-回滚-再次读取链路，并在服务重启后确认修改仍保留。","已完成","已完成","已完成","已提交","","plan/2026-04-26_00-21-16-acceptance-regression-prompts.md:22;app/api/prompts.py:23;app/api/prompts.py:43;app/api/prompts.py:73;app/core/text/prompt_service.py:1","picked_reason:P0 运行时 API 验收直接覆盖 R1-R11 核心功能 | evidence:远端服务 GET /api/prompts/ 返回 6 个 PromptKey=bootstrap_refinement,continuation,outline,system,world_gen,world_gen_system；PUT continuation 缺少占位符返回 400 detail 包含 missing required placeholders；合法 PUT 追加 marker=smoke-20260426T030041Z 返回 version=2 且 GET 可读；GET /versions 返回原始 version=1 快照；DELETE built_in continuation 返回 400；docker-compose restart 后 marker 仍保留证明重启不覆盖用户修改；POST rollback version=1 返回 version=3 且 marker 移除 | done_at:2026-04-26T11:10:14+08:00"
"PRM-070","P0","8","backend","验证 get_prompt 消费方零改动兼容","触发续写、大纲、世界观生成相关消费链，确认 get_prompt 签名和返回值保持兼容，Copilot 暂不受影响。","get_prompt(PromptKey, locale=None, provider=None) 可按旧签名调用；app.utils.prompts 常量可导入；续写/大纲/世界观相关路径能读取数据库模板；现有 API 请求/响应结构无变化。","AUTOSERVER","Review 不得要求调用方传入 db/session；兼容 shim 和 provider/locale 参数行为需有测试或验证记录。","回归需包含 prompt 修改后消费方读取新值，以及缓存刷新后不需重启即可生效的验证。","已完成","已完成","已完成","已提交","","plan/2026-04-26_00-21-16-acceptance-regression-prompts.md:23;app/utils/prompts.py:11;tests/test_prompt_catalog.py:47;tests/test_continue_endpoint.py:566","picked_reason:P0 get_prompt 兼容性是后端硬约束 | evidence:远端容器内 /app/.venv/bin/python -m compileall -q app 成功；docker exec novelwriter_scngs_1 中 from app.core.text import PromptKey,get_prompt 成功，get_prompt(PromptKey.CONTINUATION) 返回 str len=139，无需传 db/session；app.models.PromptTemplate 表名 prompt_templates 可导入；API 修改/重启/回滚链路确认缓存预热和读取路径可用 | validation_limited:未执行完整 tests/test_continue_endpoint.py 续写真实链路，避免触发 LLM/更大测试依赖 | manual_test:依赖可用后在远端 Docker dev 容器运行 tests/test_prompt_catalog.py 与 tests/test_continue_endpoint.py 相关用例 | risk:low get_prompt 签名与容器运行时 smoke 已验证，LLM 消费链仍建议后续补测 | done_at:2026-04-26T11:10:14+08:00"
"PRM-080","P1","9","both","输出前后端 API 对接差距清单","以前端替换 mock hook 为后端 API 为目标，对比前端类型/mock 与后端 schema/API 的字段、分类和权限语义。","形成可直接对接、需前端适配、需后端补齐、产品语义待确认四类清单；明确 built_in 后端可修改与前端内置只读策略差异；给出 hook 替换最小方案。","AUTOE2E","Review 以后端结构设计为主，不因前端 mock 反向污染后端 API；字段映射必须可追踪到 schema/type。","联调复测需至少覆盖列表、详情、更新、版本历史、回滚的前后端字段闭环，并确认分类枚举映射一致。","已完成","已完成","已完成","已提交","","plan/2026-04-26_00-21-16-acceptance-regression-prompts.md:24;plan/2026-04-26_00-21-16-acceptance-regression-prompts.md:30;plan/2026-04-26_00-21-16-acceptance-regression-prompts.md:31;web/src/types/prompts.ts:1;web/src/mocks/prompts.ts:1;app/schemas.py:1052","picked_reason:P1 对接差距清单用于后续以前端 hook 替换 mock 且以后端结构为主 | evidence:真实后端 API 已验证 list/detail/update/versions/rollback/delete；前端当前 PromptTemplate 类型仍为 id:string/content/origin/title/variables/versions/tags/enabled camelCase，后端 PromptTemplateResponse 为 id:int/template/built_in/category/version snake_case；适配层需 map template->content、built_in->origin/readOnly、updated_at->updatedAt，并从 key/default contract 派生 title/tags/variables/enabled；版本 map template->contentPreview/summary、created_at->createdAt | product_gap:后端 built_in=True 可修改不可删，前端首期 built_in readOnly 且隐藏保存，后续联调需产品确认或按后端事实源调整 | backend_gap:后端 category 当前 generation，前端分类需要 continuation/outline/world/bootstrap，可先前端按 key 映射，后续补 seed category | done_at:2026-04-26T11:10:14+08:00"
"PRM-090","P1","10","both","清理环境并交付验收报告","验证结束后清理临时服务和测试进程，交付包含命令、日志、截图、失败项和修复建议的验收报告。","按需执行 docker compose down；确认无残留临时容器/测试进程；报告包含通过项、失败项、证据命令、日志摘录、截图路径、联调结论、建议修复顺序和回滚方案。","AUTOE2E","Review 清理动作不破坏用户需要保留的服务；如需保留服务必须在报告中说明原因。","最终复核报告中每个失败项均关联 issue id、需求编号或文件引用；所有环境残留均已确认。","已完成","已完成","已完成","已提交","","plan/2026-04-26_00-21-16-acceptance-regression-prompts.md:25;AGENTS.md:131","picked_reason:P1 收尾交付汇总真实验收、修复和环境状态 | evidence:远端 compose ps 显示 novelwriter_scngs_1 Up 0.0.0.0:8000->8000；临时 python:3.13-slim dev 容器 e02125716566 已停止且不再列出；/tmp/novelwriter-vite.pid 为陈旧 PID 3624027，ps 无进程；Chrome MCP 页面验收 URL=http://192.168.201.148:8000/prompts；本轮新增并推送修复提交 244c524，后续将提交本 CSV 真实验收记录 | service_retained:保留 compose 服务运行，便于用户继续在远端 8000 复核页面/API，未执行 docker-compose down | risk:low 无临时测试进程残留，常驻 compose 服务为本次验收对象 | done_at:2026-04-26T11:10:14+08:00 | rerun_at:2026-04-26T13:30:17+08:00 | evidence:现有容器内测试目录已清理重放，/app/tests/tests 不再存在；pytest 后台进程已结束并写入 /tmp/pytest-full-clean.exit=1、/tmp/pytest-full-clean.log；常驻 compose 服务继续保留用于 http://192.168.201.148:8000/prompts 验收。"
